Id,Name,Name [Scene]
193,d/art-taipei,西門町智慧城市@傑克遜街(武昌▶中華)
194,To   Alice,西門町智慧城市@傑克遜街(武昌▶中華)
195,愛迪達  武昌三店 倒,西門町智慧城市@傑克遜街(武昌▶中華)
196,帥俊   流行男飾西裝專賣店,西門町智慧城市@傑克遜街(武昌▶中華)
197,署茗職茶 @At Tea,西門町智慧城市@傑克遜街(武昌▶中華)
198,尚智   運動世界,西門町智慧城市@傑克遜街(武昌▶中華)
200,LANEW台北武昌店,西門町智慧城市@傑克遜街(武昌▶中華)
201,Color108  美甲美睫館,西門町智慧城市@傑克遜街(武昌▶中華)
202,ORBIS西門門市,西門町智慧城市@傑克遜街(武昌▶中華)
203,永來香手工肉乾,西門町智慧城市@傑克遜街(武昌▶中華)
204,亂剪,西門町智慧城市@傑克遜街(武昌▶中華)
205,奇士美  皮鞋公司,西門町智慧城市@百老匯街(武昌▶西寧南)
206,阿毛茶室,西門町智慧城市@百老匯街(武昌▶西寧南)
207,烏龍院  藝術館,西門町智慧城市@百老匯街(武昌▶西寧南)
208,MASA 夾娃娃,西門町智慧城市@百老匯街(武昌▶西寧南)
209,水牛城  丹寧服飾,西門町智慧城市@百老匯街(武昌▶西寧南)
211,摩曼頓  中華店,
212,VAR  LIVE,
214,三兄妹  雪花冰,
215,古潮雞,
216,玉林   雞腿大王,
217,艾叻沙  西門町創始,
218,佳佳唱片,
219,紅磡   港式飲茶,
220,軒軒滷味 西門町分店,
221,鴨肉扁  土鵝專賣店,西門町智慧城市@傑克遜街(武昌▶中華)
222,NET  中華二店,
223,京沺屋抹茶,
224,淘汽小姐 飲品,測試場景1
225,鳥人拉麵,
226,艋舺雞排 西門町店,
227,巫記   青蛙下蛋,
228,莎米特,
229,雅格   帆布包,
230,盈嘉   流行服飾行,
231,Dr.  Mar- tens,
232,永安棧,
233,Dough-nut  專賣店,
234,結珮   襪子專賣店,
236,圓柱(2),
237,圓柱(3),
238,天幕,
240,愛迪達,測試場景1
241,台灣仁和堂龜苓膏,西門町智慧城市@哈林街(漢中▶漢口)
242,全家便利店萬捷店,
244,POLARCAFE,
245,西門小辣椒魷魚羹,西門町智慧城市@哈林街(漢中▶漢口)
246,西門町  芒菓冰,測試場景1
247,西門町豆漿,測試場景1
248,李圓圓,西門町智慧城市@哈林街(漢中▶漢口)
249,刺青街,
251,茶堀出軌,西門町智慧城市@哈林街(漢中▶漢口)
252,祥發   港式茶餐廳,西門町智慧城市@哈林街(漢中▶漢口)
253,大眾食堂,西門町智慧城市@哈林街(漢中▶漢口)
254,港記酥皇店,測試場景1
256,萌姬   女僕咖啡館,測試場景1
257,黑糖薑母茶,西門町智慧城市@百老匯街(武昌▶西寧南)
258,萬國滷味,西門町智慧城市@中央廣場後段(漢中▶武昌)
259,謝謝魷魚羹,西門町智慧城市@哈林街(漢中▶漢口)
260,檸檬屋,西門町智慧城市@哈林街(漢中▶漢口)
261,The  TUAN,西門町智慧城市@皇后街(6號出口)
262,Miss Game  密室逃脫,西門町智慧城市@哈林街(漢中▶漢口)
263,茶茶GO,西門町智慧城市@中央廣場後段(漢中▶武昌)
264,嗑火鍋,西門町智慧城市@中央廣場後段(漢中▶武昌)
265,Masa 3C配件,測試場景1
319,ACME CLUB,
320,Guru House,
321,成都楊桃冰,測試場景1
322,西門紅樓,
325,維記茶餐廳,
326,臺北天后宮,
327, 拿翹義式 冰淇淋,西門町智慧城市@哈林街(漢中▶漢口)
328,久大文具,
329,小牛匠餐廳西門店,西門町智慧城市@百老匯街(武昌▶西寧南)
330,元之寶  拉麵湯餃館,
331,王子起士 馬鈴薯,
333,全家便利店萬中店,
334,全家便利店萬年店,
337,芒果恰恰冰,
338,金軒排骨,
339,峨眉   立體停車場,
341,御廚房  雲吞料理,
344,黃記   老牌燉肉飯,
345,萬年   商業大樓,
346,雜誌瘋  西門店,西門町智慧城市@傑克遜街(武昌▶中華)
348,搖滾地瓜球,測試場景1
349,愛迪達,西門町智慧城市@西岸街(峨眉▶中華路)
350,IS   Hair,西門町智慧城市@皇后街(6號出口)
351,幸福堂  珍珠奶茶,西門町智慧城市@皇后街(6號出口)
354,M.S  man,
355,Co-  nnie,西門町智慧城市@東岸街(峨眉▶西寧南路)
356,幸福金龍鍋,西門町智慧城市@中央廣場前(漢中▶峨眉)
358,Hair Salon,
457,兩津   芙蓉蛋塔,
536,天幕L,
537,天幕R,
543,兌換卷,
544,折價卷,
545,快閃店,
550,魔王_平時,
551,魔王_開場,
552,魔王_攻擊地球,
553,魔王_被攻擊,
554,魔王_結束,
556,鉅奇高醫_招牌_2202,高醫大校史館
557,鉅奇高醫_招牌_2204,高醫大校史館
558,鉅奇高醫_招牌_2206,高醫大校史館
559,鉅奇高醫_招牌_2208,高醫大校史館
560,鉅奇高醫_招牌_2210,高醫大校史館
561,鉅奇高醫_招牌_2212,高醫大校史館
587,王-優1,
588,王-優2,
589,王-優3,
590,王-優4,
591,王-優5,
592,王-優6,
625,圖片,
626,典雅風範 大膽宣示(兌換卷),
627,南路-LEXUS-logo,
628,JAGUAR LAND ROVER 與世界電動汽車日合作 ｜攜手全球電動車車主 迎接移動電氣化世代來臨(測試),
629,噴火龍圖片,
631,測試影片,
632,心理測驗文字版,
633,紅磚牆,
634,冥王星,
635,燈,
637,wall,
639,light,
673,白色,
674,藍色,
677,冥王星,
678,紫色,
679,紫色,
682,燈光,
683,綠色,
684,紫色2,
689,三隻老鼠,Living Lab 專案
693,威秀-入口南-雲白-1-1,
694,威秀-入口南-雲白-1-2,
695,威秀-入口南-雲白-2,
696,威秀-入口南-雲白-3-1,
697,威秀-入口南-雲白-3-2,
698,威秀-入口北-雲白-1-1,
699,威秀-入口北-雲白-1-2,
700,威秀-入口北-雲白-2,
701,威秀-入口北-雲白-3-1,
702,威秀-入口北-雲白-3-2,
703,威秀-入口南-傳送門,
704,威秀-入口北-傳送門,
705,威秀-入口南-Re:Play,
706,威秀-入口北-Re:Play,
707,威秀-入口南-TFW,
708,威秀-入口北-TFW,
709,威秀-入口南-#AR,
710,威秀-入口北-#AR,
711,威秀-入口北-#TFW,
712,威秀-入口南-#TFW,
713,威秀-入口北-#VOGUE,
714,威秀-入口南-#VOGUE,
715,威秀-入口南-FNO-LOGO,
716,威秀-入口北-FNO-LOGO,
717,威秀-拍照南-傳送門,
718,威秀-拍照南-雲1-1,
719,威秀-拍照南-雲1-2,
720,威秀-拍照南-雲1-3,
721,威秀-拍照南-雲1-4,
722,威秀-拍照南-雲2-1,
723,威秀-拍照南-雲2-2,
724,威秀-拍照南-雲2-3,
725,威秀-拍照南-雲3-1,
726,威秀-拍照南-雲3-2,
727,威秀-拍照南-雲3-3,
740,威秀-藝人北-雲1,
741,威秀-藝人北-雲2-1,
744,威秀-藝人北-雲2-2,
745,威秀-藝人北-雲2-優惠卷,
748,威秀-藝人北-雲3,
749,威秀-藝人北-優1,
750,威秀-藝人北-優2,
